sapogu|сапогоу
ponesti|понести
aћe|аще
li|ли
rečetъ|речетъ
zъlъjь|зълъіи
orbъ|рабъ
tъ|тъ
vъ|въ
sŕ̥dьki|срьдьци
svojemь|своѥмь
|
mojь|мои
gospodinъ|господинъ
prijьti|приити
i|и
načьnetъ|начьнетъ
kleverty|клеврѣтъі
svoję|своѩ
jǞsti|ꙗсти
že|же
i|и
piti|пити
﻿sъ|﻿съ
|
prijьdetъ|приидетъ
gospodь|господь
orba|раба
togo|того
vъ|въ
dьnь|дьнь
vъ|въ
ńьže|н҄ьже
ne|не
čǞjetъ|чаѥтъ
i|и
vъ|въ
čǞsъ|часъ
vъ|въ
ńьže|н҄ьже
ne|не
věstъ|вѣстъ
i|и
protešetъ|протешетъ
i|и
polъma|полъма
i|и
čęstь|чѧсть
jego|ѥго
﻿sъ|﻿съ
üpokrity|ѵпокритъі
ty|тъі
položitъ|положитъ
bolgъjь|благъіи
bo|бо
čьlověkъ|чьловѣкъ
otъ|отъ
bolgajego|благаѥго
sъkroviščǞ|съкровища
sŕ̥dьka|срьдьца
svojego|своѥго
jьznositъ|износитъ
bolgoje|благоѥ
i|и
zъlъjь|зълъіи
čьlověkъ|чьловѣкъ
otъ|отъ
zъlajego|зълаѥго
sъkroviščǞ|съкровища
svojego|своѥго
jьznositъ|износитъ
|
zъloje|зълоѥ
i|и
obrěte|обрѣте
vъ|въ
kŕ̥kъve|црькъве
prodajǫћęję|продаѭщѧѩ
ovьkę|овьцѧ
i|и
voly|волъі
i|и
golǫbi|голѫби
i|и
pěnęžьniky|пѣнѧжьникъі
sědęћę|сѣдѧщѧ
i|и
sъtvoŕь|сътвор҄ь
ako|ако
bičь|бичь
otъ|отъ
vŕ̥vi|врьви
vьxę|вьсѧ
jьzgъna|изгъна
i|и
kŕ̥kъve|црькъве
ovьkę|овьцѧ
že|же
i|и
voly|волъі
i|и
tr̥žьnikomъ|тръжьникомъ
orssypa|рассъіпа
pěnęgę|пѣнѧѕѧ
i|и
dъsky|дъскъі
oprovŕ̥že|опроврьже
i|и
prodajǫћemъjimъ|продаѭщиимъ
golǫbi|голѫби
reče|рече
ne|не
tvorite|творите
domu|домоу
boga|бога
mojego|моѥго
domu|домоу
kupĺьnajego|коупл҄ьнаѥго
pomęnǫšę|помѧнѫшѧ
že|же
učeniki|оученици
jego|ѥго
ako|ако
napьsano|напьсано
jestъ|ѥстъ
žǞlostь|жалость
domu|домоу
tvojego|твоѥго
sъněstъ|сънѣстъ
mę|мѧ
otъvěћǞšę|отъвѣщашѧ
že|же
ijudeji|июдеи
i|и
rěšę|рѣшѧ
