сапогоу|sapogu|сапогоу
понести|ponesti|понести
аште|aћe|аще
ли|li|ли
речетъ|rečetъ|речетъ
зълъꙇ|zъlъjь|зълъіи
рабъ|orbъ|рабъ
тъ|tъ|тъ
въ|vъ|въ
сръдьци|sŕ̥dьki|срьдьци
своемъ|svojemь|своѥмь
моудитъ||
мои|mojь|мои
г҃нъ|gospodinъ|господинъ
прити|prijьti|приити
ꙇ|i|и
начьнетъ|načьnetъ|начьнетъ
клеврѣтꙑ|kleverty|клеврѣтъі
своѩ|svoję|своѩ
ѣсти|jǢsti|ꙗсти
же|že|же
ꙇ|i|и
пити|piti|пити
съ|﻿sъ|﻿съ
пьѣницами||
придетъ|prijьdetъ|приидетъ
г҃ь|gospodь|господь
раба|orba|раба
того|togo|того
въ|vъ|въ
дьнь|dьnь|дьнь
въ|vъ|въ
н҄ьже|ńьže|н҄ьже
не|ne|не
чаетъ|čǢjetъ|чаѥтъ
ꙇ|i|и
въ|vъ|въ
часъ|čǢsъ|часъ
въ|vъ|въ
н҄ьже|ńьže|н҄ьже
не|ne|не
вѣстъ|věstъ|вѣстъ
ꙇ|i|и
протешетъ|protešetъ|протешетъ
ꙇ|i|и
полъма|polъma|полъма
ꙇ|i|и
чѧсть|čęstь|чѧсть
его|jego|ѥго
съ|﻿sъ|﻿съ
упокритꙑ|üpokrity|ѵпокритъі
тꙑ|ty|тъі
положитъ|položitъ|положитъ
благꙑ|bolgъjь|благъіи
бо|bo|бо
ч҃къ|čьlověkъ|чьловѣкъ
отъ|otъ|отъ
благааго|bolgajego|благаѥго
съкровишта|sъkroviščǢ|съкровища
сръдьца|sŕ̥dьka|срьдьца
своего|svojego|своѥго
ꙇзноситъ|jьznositъ|износитъ
благое|bolgoje|благоѥ
ꙇ|i|и
зълꙑ|zъlъjь|зълъіи
ч҃къ|čьlověkъ|чьловѣкъ
отъ|otъ|отъ
зълааго|zъlajego|зълаѥго
съкровишта|sъkroviščǢ|съкровища
своего|svojego|своѥго
ꙇзноситъ|jьznositъ|износитъ
л||
зълое|zъloje|зълоѥ
Ꙇ|i|и
обрѣте|obrěte|обрѣте
въ|vъ|въ
цръкъве|kŕ̥kъve|црькъве
продаѭштѧѩ|prodajǫћęję|продаѭщѧѩ
овьцѧ|ovьkę|овьцѧ
ꙇ|i|и
волꙑ|voly|волъі
ꙇ|i|и
голѫби|golǫbi|голѫби
ꙇ|i|и
пѣнѧжьникꙑ|pěnęžьniky|пѣнѧжьникъі
сѣдѧштѧ|sědęћę|сѣдѧщѧ
ꙇ|i|и
сътворь|sъtvoŕь|сътвор҄ь
ѣко|ako|ако
бичь|bičь|бичь
отъ|otъ|отъ
връвиі|vŕ̥vi|врьви
вьсѧ|vьxę|вьсѧ
ꙇзгъна|jьzgъna|изгъна
ꙇ|i|и
цръкъве|kŕ̥kъve|црькъве
овьцѧ|ovьkę|овьцѧ
же|že|же
ꙇ|i|и
волꙑ|voly|волъі
ꙇ|i|и
тръжьникомъ|tr̥žьnikomъ|тръжьникомъ
расꙑпа|orssypa|рассъіпа
пѣнѧзѧ|pěnęgę|пѣнѧѕѧ
ꙇ|i|и
дъскꙑ|dъsky|дъскъі
опровръже|oprovŕ̥že|опроврьже
ꙇ|i|и
продаѭштимъ|prodajǫћemъjimъ|продаѭщиимъ
голѫби|golǫbi|голѫби
рече|reče|рече
не|ne|не
творите|tvorite|творите
домоу|domu|домоу
о҃ца|boga|бога
моего|mojego|моѥго
домоу|domu|домоу
коупльнаего|kupĺьnajego|коупл҄ьнаѥго
Помѣнѫшѧ|pomęnǫšę|помѧнѫшѧ
же|že|же
оученици|učeniki|оученици
его|jego|ѥго
ѣко|ako|ако
напсано|napьsano|напьсано
естъ|jestъ|ѥстъ
жалость|žǢlostь|жалость
домоу|domu|домоу
твоего|tvojego|твоѥго
сънѣстъ|sъněstъ|сънѣстъ
мѧ|mę|мѧ
ѡтъвѣшташѧ|otъvěћǢšę|отъвѣщашѧ
же|že|же
ꙇюдеі|ijudeji|июдеи
ꙇ|i|и
рѣшѧ|rěšę|рѣшѧ
емоу|jemu|ѥмоу
кое|koje|коѥ
ѣвл҄ѣеши|avĺǢješi|авлꙗѥши
ѣко|ako|ако
си|si|си
твориши|tvoriši|твориши
Ѡтъвѣшта|otъvěћǢ|отъвѣща
ꙇ҃с|jisusъ|исоусъ
ꙇ|i|и
рече|reče|рече
ꙇмъ|jimъ|имъ
разорите|orzorite|разорите
цръковь|kŕ̥kъvь|црькъвь
сиѭ|sьjǫ|сиѭ
ꙇ|i|и
трьми|trьmi|трьми
дьнꙑ|dьny|дьнъі
вьздвігнѫ|vъzdvignǫ|въздвигнѫ
ѭ|jǫ|ѭ
рѣшѧ|rěšę|рѣшѧ
же|že|же
ꙇюдѣи|ijudeji|июдеи
четꙑрьми|četyrьmi|четъірьми
десѧтꙑ|desęty|десѧтъі
ꙇ|i|и
шестиѭ|šestьjǫ|шестиѭ
лѣтъ|lětъ|лѣтъ
съзъдана|sъzьdana|съзьдана
бꙑс|by|бъі
ц҃ркꙑ|kŕ̥ky|црькъі
си|si|си
ꙇ|i|и
тꙑ|ty|тъі
ли|li|ли
трьми|trьmi|трьми
дьнꙑ|dьny|дьнъі
вьздвігнеши|vъzdvigneši|въздвигнеши
ѭ|jǫ|ѭ
онъ|onъ|онъ
же|že|же
г҃лааше|golgolaaše|глаголааше
о|o|о
цръкъви|kŕ̥kъve|црькъве
тѣла|těla|тѣла
своего|svojego|своѥго
егда|jegъda|ѥгъда
оубо|ubo|оубо
въста|vъsta|въста
отъ|otъ|отъ
мрътвꙑхъ|mŕ̥tvъjixъ|мрьтвъіихъ
помѧнѫшѧ|pomęnǫšę|помѧнѫшѧ
