сапогоу|sapogu
понести|ponesti
аште|aћe
ли|li
речетъ|rečetъ
зълъꙇ|zъlъjь
рабъ|orbъ
тъ|tъ
въ|vъ
сръдьци|sŕ̥dьki
своемъ|svojemь
моудитъ|
мои|mojь
г҃нъ|gospodinъ
прити|prijьti
ꙇ|i
начьнетъ|načьnetъ
клеврѣтꙑ|kleverty
своѩ|svoję
ѣсти|jǢsti
же|že
ꙇ|i
пити|piti
съ|﻿sъ
пьѣницами|
придетъ|prijьdetъ
г҃ь|gospodь
раба|orba
того|togo
въ|vъ
дьнь|dьnь
въ|vъ
н҄ьже|ńьže
не|ne
чаетъ|čǢjetъ
ꙇ|i
въ|vъ
часъ|čǢsъ
въ|vъ
н҄ьже|ńьže
не|ne
вѣстъ|věstъ
ꙇ|i
протешетъ|protešetъ
ꙇ|i
полъма|polъma
ꙇ|i
чѧсть|čęstь
его|jego
съ|﻿sъ
упокритꙑ|üpokrity
тꙑ|ty
положитъ|položitъ
благꙑ|bolgъjь
бо|bo
ч҃къ|čьlověkъ
отъ|otъ
благааго|bolgajego
съкровишта|sъkroviščǢ
сръдьца|sŕ̥dьka
своего|svojego
ꙇзноситъ|jьznositъ
благое|bolgoje
ꙇ|i
зълꙑ|zъlъjь
ч҃къ|čьlověkъ
отъ|otъ
зълааго|zъlajego
съкровишта|sъkroviščǢ
своего|svojego
ꙇзноситъ|jьznositъ
л|
зълое|zъloje
Ꙇ|i
обрѣте|obrěte
въ|vъ
цръкъве|kŕ̥kъve
продаѭштѧѩ|prodajǫћęję
овьцѧ|ovьkę
ꙇ|i
волꙑ|voly
ꙇ|i
голѫби|golǫbi
ꙇ|i
пѣнѧжьникꙑ|pěnęžьniky
сѣдѧштѧ|sědęћę
ꙇ|i
сътворь|sъtvoŕь
ѣко|ako
бичь|bičь
отъ|otъ
връвиі|vŕ̥vi
вьсѧ|vьxę
ꙇзгъна|jьzgъna
ꙇ|i
цръкъве|kŕ̥kъve
овьцѧ|ovьkę
же|že
ꙇ|i
волꙑ|voly
ꙇ|i
тръжьникомъ|tr̥žьnikomъ
расꙑпа|orssypa
пѣнѧзѧ|pěnęgę
ꙇ|i
дъскꙑ|dъsky
опровръже|oprovŕ̥že
ꙇ|i
продаѭштимъ|prodajǫћemъjimъ
голѫби|golǫbi
рече|reče
не|ne
творите|tvorite
домоу|domu
о҃ца|boga
моего|mojego
домоу|domu
коупльнаего|kupĺьnajego
Помѣнѫшѧ|pomęnǫšę
же|že
оученици|učeniki
его|jego
ѣко|ako
напсано|napьsano
естъ|jestъ
жалость|žǢlostь
домоу|domu
твоего|tvojego
сънѣстъ|sъněstъ
мѧ|mę
ѡтъвѣшташѧ|otъvěћǢšę
же|že
ꙇюдеі|ijudeji
ꙇ|i
рѣшѧ|rěšę
емоу|jemu
кое|koje
ѣвл҄ѣеши|avĺǢješi
ѣко|ako
си|si
твориши|tvoriši
Ѡтъвѣшта|otъvěћǢ
ꙇ҃с|jisusъ
ꙇ|i
рече|reče
ꙇмъ|jimъ
разорите|orzorite
цръковь|kŕ̥kъvь
сиѭ|sьjǫ
ꙇ|i
трьми|trьmi
дьнꙑ|dьny
вьздвігнѫ|vъzdvignǫ
ѭ|jǫ
рѣшѧ|rěšę
же|že
ꙇюдѣи|ijudeji
четꙑрьми|četyrьmi
десѧтꙑ|desęty
ꙇ|i
шестиѭ|šestьjǫ
лѣтъ|lětъ
съзъдана|sъzьdana
бꙑс|by
ц҃ркꙑ|kŕ̥ky
си|si
ꙇ|i
тꙑ|ty
ли|li
трьми|trьmi
дьнꙑ|dьny
вьздвігнеши|vъzdvigneši
ѭ|jǫ
онъ|onъ
же|že
г҃лааше|golgolaaše
о|o
цръкъви|kŕ̥kъve
тѣла|těla
своего|svojego
егда|jegъda
оубо|ubo
въста|vъsta
отъ|otъ
мрътвꙑхъ|mŕ̥tvъjixъ
помѧнѫшѧ|pomęnǫšę
оученици|učeniki
его|jego
ѣкоже|akože
г҃лааше|golgolaaše
ꙇ|i
вѣрѫ|věrǫ
ѩшѧ|jęšę
кън҄игамъ|kъńigamъ
ꙇ|i
словеси|slovesi
еже|ježe
рече|reče
и҃с|jisusъ
егда|jegъda
бѣ|bě
въ|vъ
і҃ꙇлмѣхъ|
въ|vъ
пасха|pasxa
въ|vъ
праздьникъ|porzdьnikъ
мънози|mъnogi
вѣровашѧ|věrovašę
въ|vъ
імѧ|jьmę
его|jego
видѧште|vidęћe
знаменьѣ|znamenьjǢ
его|jego
ѣже|jǢže
творѣаше|tvoŕǢaše
самъ|samъ
же|že
и҃с|jisusъ
не|ne
въдааше|vъdajǢaše
себе|sebe
въ|vъ
вѣрѫ|věrǫ
ꙇхъ|jixъ
ꙇмьже|jimьže
самъ|samъ
вѣдѣаше|věděaše
вьсе|vьxe
ꙇ|i
ѣко|ako
не|ne
трѣбоваше|terbovaaše
да|da
къто|kъto
съвѣдѣтел҄ьствоуетъ|sъvěděteĺьstvujetъ
о|o
ч҃цѣ|čьlověkě
самъ|samъ
бо|bo
вѣдѣаше|věděaše
чьто|čьto
бѣ|bě
въ|vъ
ч҃цѣ|čьlověkě
Бѣ|bě
ч҃къ|čьlověkъ
отъ|otъ
фарисѣі|farisejь
никодимъ|nikodimъ
ꙇмѧ|jьmę
емоу|jemu
кънѧзь|kъnęgь
ꙇюдеꙇскъ|ijudejьskъ
сь|sь
приде|prijьde
къ|kъ
н҄емоу|ńemu
ноштиѭ|noћьjǫ
ꙇ|i
рече|reče
емоу|jemu
равⸯви|ravvi
вѣмь|věmъ
ѣко|ako
отъ|otъ
б҃а|boga
пришьлъ|prišьdlъ
еси|jesi
оучител҄ь|učiteĺь
никътоже|nikъtože
бо|bo
не|ne
можетъ|možetъ
знамени|
сихъ|sixъ
творити|tvoriti
ѣже|jǢže
тꙑ|ty
сътвориши|sъtvoriši
аште|aћe
не|ne
бѫдетъ|bǫdetъ
б҃ъ|bogъ
съ|﻿sъ
н҄имь|ńimь
отъвѣшта|otъvěћǢ
и҃с|jisusъ
ꙇ|i
рече|reče
емоу|jemu
амин|aminь
амин|aminь
г҃лѭ|golgoĺǫ
тебѣ|tebě
аште|aћe
къто|kъto
не|ne
родитъ|roditъ
сѧ|sę
съвꙑше|sъvyše
не|ne
можетъ|možetъ
видѣти|viděti
ц҃рсиѣ|kěsaŕьstvьjǢ
б҃жиѣ|božьjǢ
г҃ла|golgola
къ|kъ
н҄емоу|ńemu
никодимъ|nikodimъ
како|kako
можетъ|možetъ
ч҃къ|čьlověkъ
родити|roditi
сѧ|sę
старъ|starъ
сꙑ|sy
еда|jeda
можетъ|možetъ
въторицеѭ|vъtorikejǫ
въ|vъ
ѫтробѫ|ǫtrobǫ
вьлѣсти|vъlěsti
матере|matere
своеѩ|svojeję
ꙇ|i
родити|roditi
сѧ|sę
отъвѣшта|otъvěћǢ
и҃с|jisusъ
амин|aminь
амин|aminь
г҃лѭ|golgoĺǫ
тебѣ|tebě
аште|aћe
къто|kъto
не|ne
родитъ|roditъ
сѧ|sę
водоѭ|vodojǫ
ꙇ|i
д҃хомь|duxomь
не|ne
можетъ|možetъ
вьнити|vъniti
вь|vъ
ц҃рсие|kěsaŕьstvьje
б҃жие|božьje
рожденъ|
отъ|otъ
плъти|plъti
плъть|plъtь
естъ|jestъ
ꙇ|i
рождено|
отъ|otъ
д҃ха|duxa
д҃хъ|duxъ
естъ|jestъ
не|ne
чюди|čudi
сѧ|sę
ѣко|ako
рѣхъ|rěxъ
ти|tebě
подобаетъ|podobajetъ
вамъ|vamъ
родити|roditi
сѧ|sę
съвꙑше|sъvyše
д҃хъ|duxъ
ꙇдеже|jьdeže
хоштетъ|xoћetъ
доушетъ|dušetъ
ꙇ|i
гласъ|golsъ
его|jego
слꙑшиши|slyšiši
нъ|nъ
не|ne
вѣси|věsi
отъкѫдоу|otъkǫdu
приходитъ|prixoditъ
ꙇ|i
камо|kamo
ꙇдетъ|jьdetъ
тако|tako
естъ|jestъ
рожденꙑ|roђenъjь
отъ|otъ
д҃ха|duxa
отъвѣшта|otъvěћǢ
никодимъ|nikodimъ
ꙇ|i
рече|reče
емоу|jemu
како|kako
могѫтъ|mogǫtъ
си|si
бꙑти|byti
отъвѣшта|otъvěћǢ
и҃с|jisusъ
ꙇ|i
рече|reče
емоу|jemu
тꙑ|ty
еси|jesi
оучител҄ь|učiteĺь
ꙇ҃левъ|jizrajiĺevъ
ꙇ|i
сихъ|sixъ
ли|li
не|ne
вѣси|věsi
амин|aminь
амин|aminь
г҃лѭ|golgoĺǫ
тебѣ|tebě
ѣко|ako
еже|ježe
вѣмь|věmъ
г҃лемъ|golgoĺemъ
ꙇ|i
еже|ježe
дастъ|dastъ
въ|vъ
рѫцѣ|rǫkě
его|jego
вѣроуѩі|věrujęjь
въ|vъ
с҃на|syna
ꙇматъ|jьmatъ
животъ|životъ
вѣчьнꙑ|věčьnъjь
а|a
ꙇже|jьže
не|ne
вѣроуетъ|věrujetъ
въ|vъ
с҃на|syna
не|ne
оузьритъ|uzьritъ
живота|života
нъ|nъ
гнѣвъ|gněvъ
б҃жі|božьjь
прѣбꙑваетъ|perbyvajetъ
на|na
н҄емь|ńemь
егда|jegъda
же|že
оуслꙑша|uslyšǢ
г҃ь|gospodь
ко|kъ
оуслꙑшашѧ|uslyšǢšę
фарисеі|fariseji
ѣко|ako
и҃с|jisusъ
множаꙇшѧ|mъnožǢjьšę
оученикꙑ|učeniky
творитъ|tvoritъ
ꙇ|i
крьштаетъ|krьšћǢjetъ
неже|neže
ꙇоанъ|ijoanъ
ꙇ҃с|jisusъ
самъ|samъ
не|ne
крьштааше|krьšћǢaše
нъ|nъ
оученици|učeniki
его|jego
остави|ostavi
ꙇюдеѫ|ijudejǫ
ꙇ|i
иде|jьde
пакꙑ|paky
въ|vъ
галилеѭ|galilejǫ
достоѣше|dostojǢaše
емоу|jemu
проꙇти|projьti
сквозѣ|skvozě
самариѭ|samarijǫ
Приде|prijьde
же|že
въ|vъ
градъ|gordъ
самарьскъ|samarьskъ
нарицаемъі|narikajemъjь
соухарь|
ꙇскрь|jьskrь
вьси|vьxi
ѭже|jǫže
дастъ|dastъ
ꙇѣковъ|ijǢkovъ
ꙇосифоу|ijosifu
с҃ноу|synu
своемоу|svojemu
бѣ|bě
же|že
тоу|tu
кладѧзь|
ꙇѣковл҄ь|ijǢkovĺь
ꙇ҃с|jisusъ
же|že
троуждь|truђь
сѧ|sę
отъ|otъ
пѫти|pǫti
сѣдѣаше|sěděaše
тако|tako
на|na
кладѧзи|
часъ|čǢsъ
бѣ|bě
ѣко|ako
шестꙑ|šestъjь
приде|prijьde
жена|žena
отъ|otъ
самариѩ|samariję
почрѣтъ|počertъ
водꙑ|vody
г҃ла|golgola
еи|jejь
ꙇ҃с|jisusъ
даждь|daђь
ми|mъně
пити|piti
оученици|učeniki
бо|bo
его|jego
ошьли|otъšьdli
бѣахѫ|běaxǫ
въ|vъ
градъ|gordъ
да|da
брашьна|boršьna
коупѧтъ|kupętъ
г҃ла|golgola
же|že
емоу|jemu
жена|žena
самарѣнꙑн҄и|samarěnyńi
како|kako
тꙑ|ty
ꙇюдеи|ijudejь
сꙑ|sy
отъ|otъ
мене|mene
пити|piti
просиши|prosiši
женꙑ|ženy
самарѣнꙑн҄ѧ|samarěnyńę
сѫштѧ|sǫћę
не|ne
прикасаѭтъ|prikasajǫtъ
бо|bo
